run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_outputF_1P,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_minlen,run_mi_length,run_mi_strict,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-17.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.8,3.3002443313598633,42937,7346.0,8192.0,5272.0,2048.0
run-15.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.2,3.709967613220215,48352,7346.0,8192.0,3673.0,2048.0
run-45.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.2,5.737331867218018,142280,7346.0,8192.0,7346.0,2048.0
run-35.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.8,5.108202219009399,124821,7346.0,8192.0,5272.0,2048.0
run-80.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.8,5.348457336425781,278041,7346.0,8192.0,5272.0,2048.0
run-37.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.5,4.603424787521362,113138,7346.0,8192.0,3673.0,2048.0
run-2.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.8,3.9977588653564458,52140,7346.0,8192.0,5272.0,1638.0
run-21.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.2,3.327347993850708,43036,7346.0,8192.0,3673.0,2048.0
run-53.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.8,6.126535177230835,152375,7346.0,8192.0,3673.0,2048.0
run-74.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.8,4.951637983322144,259839,7346.0,8192.0,5272.0,2048.0
run-7.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.5,3.540177345275879,46126,7346.0,8192.0,4763.0,2048.0
run-43.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.5,4.927181959152222,120509,7346.0,8192.0,7346.0,2048.0
run-33.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.2,5.815343379974365,142240,7346.0,8192.0,4763.0,1638.0
