sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_threads,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_sliding_size,run_sliding_quality,run_minlen,run_mi_length,run_mi_strict,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps,data_rr_count,total_exe_time_s
2,2,2304.0,2217431040,2147479552,50,5,16,8,15,4,15,36,36,0.5,7412.0,8192.0,3706.0,2048.0,20000,3.222517251968384
2,2,2304.0,2217431040,2147479552,50,5,16,8,3,4,3,36,36,0.2,7412.0,8192.0,5272.0,1638.0,20000,3.2703564167022705
2,2,2304.0,2217431040,2147479552,10,5,20,10,33,25,33,36,36,0.8,7412.0,8192.0,7346.0,2048.0,20000,2.680069923400879
2,2,2304.0,2217431040,2147479552,50,5,16,8,33,10,15,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,3.016319751739502
2,2,2304.0,2217431040,2147479552,10,5,16,8,3,4,15,36,36,0.2,7412.0,8192.0,7346.0,1638.0,20000,2.7284045219421387
2,2,2304.0,2217431040,2147479552,10,5,16,8,15,10,33,36,36,0.8,7412.0,8192.0,7346.0,2048.0,20000,2.758605480194092
2,2,2304.0,2217431040,2147479552,10,5,20,10,3,25,26,36,36,0.8,7412.0,8192.0,7346.0,1638.0,20000,3.037474632263184
2,2,2304.0,2217431040,2147479552,50,5,20,10,15,25,26,36,36,0.8,7412.0,8192.0,3706.0,2048.0,20000,2.8752236366271973
2,2,2304.0,2217431040,2147479552,50,5,16,8,33,4,26,36,36,0.8,7412.0,8192.0,5272.0,2048.0,20000,2.6501383781433105
2,2,2304.0,2217431040,2147479552,50,5,30,15,33,25,26,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,3.082630157470703
2,2,2304.0,2217431040,2147479552,10,5,20,10,3,10,3,36,36,0.8,7412.0,8192.0,7346.0,1638.0,20000,5.375834703445435
2,2,2304.0,2217431040,2147479552,50,5,16,8,3,10,15,36,36,0.2,7412.0,8192.0,5272.0,2048.0,20000,2.7171878814697266
2,2,2304.0,2217431040,2147479552,10,5,20,10,3,25,15,36,36,0.8,7412.0,8192.0,3706.0,1638.0,20000,3.046053647994995
2,2,2304.0,2217431040,2147479552,50,5,30,15,33,10,33,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,2.3205997943878174
2,2,2304.0,2217431040,2147479552,50,5,30,15,15,10,15,36,36,0.5,7412.0,8192.0,7346.0,2048.0,20000,2.929058313369751
2,2,2304.0,2217431040,2147479552,50,5,16,8,3,10,33,36,36,0.8,7412.0,8192.0,3706.0,2048.0,20000,3.226229667663574
2,2,2304.0,2217431040,2147479552,50,5,16,8,33,10,33,36,36,0.5,7412.0,8192.0,5272.0,2048.0,20000,2.964080333709717
2,2,2304.0,2217431040,2147479552,50,5,30,15,3,10,33,36,36,0.2,7412.0,8192.0,7346.0,2048.0,20000,2.673997163772583
