sys_phy_cores_count,sys_tot_cores_count,sys_phy_mem_bytes,exe_L,exe_Du,exe_Dv,exe_F,exe_k,exe_dt,exe_steps,exe_noise,run_nprocs,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps,total_exe_time_ms
4,4,4119924736,16,0.2,0.2,0.01,0.04,2.0,150,1e-07,2,4433.0,7005.0,544.9,0.4363181591033935
4,4,4119924736,16,0.1,0.2,0.02,0.048,1.0,100,1e-07,2,4433.0,5254.0,158.3,0.3771336078643799
4,4,4119924736,64,0.2,0.2,0.02,0.048,2.0,100,1e-07,2,4433.0,6181.0,341.0,2.1866862773895264
4,4,4119924736,16,0.2,0.2,0.01,0.048,1.0,100,1e-07,2,4433.0,5254.0,158.3,0.4258956909179687
4,4,4119924736,64,0.1,0.1,0.01,0.048,2.0,100,1e-07,2,4433.0,5254.0,435.9,2.090897798538208
4,4,4119924736,16,0.1,0.1,0.02,0.04,1.0,150,1e-07,2,4433.0,5531.0,622.7,0.3271706104278564
4,4,4119924736,16,0.2,0.2,0.01,0.048,2.0,100,1e-07,2,4433.0,5838.0,164.2,0.428311824798584
4,4,4119924736,16,0.1,0.2,0.01,0.048,1.0,100,1e-07,2,4433.0,5254.0,435.9,0.4294536113739013
4,4,4119924736,16,0.2,0.2,0.02,0.048,2.0,100,1e-07,2,4433.0,8083.0,554.1,0.3266346454620361
4,4,4119924736,16,0.2,0.1,0.02,0.04,1.0,100,1e-07,2,4433.0,4776.0,290.6,0.3299140930175781
4,4,4119924736,16,0.2,0.2,0.01,0.04,2.0,100,1e-07,2,4433.0,5842.0,435.9,0.3761751651763916
4,4,4119924736,16,0.1,0.2,0.02,0.04,1.0,150,1e-07,2,4433.0,5531.0,554.1,0.3898334503173828
4,4,4119924736,16,0.1,0.1,0.02,0.048,1.0,150,1e-07,2,4433.0,5531.0,554.1,0.3946654796600342
4,4,4119924736,16,0.1,0.1,0.02,0.04,2.0,100,1e-07,2,4433.0,5838.0,633.3,0.3819825649261474
4,4,4119924736,16,0.1,0.1,0.01,0.048,1.0,100,1e-07,2,4433.0,5531.0,633.3,0.3378634452819824
4,4,4119924736,16,0.1,0.1,0.01,0.04,2.0,150,1e-07,2,4433.0,5838.0,492.6,0.3768036365509033
4,4,4119924736,16,0.2,0.2,0.02,0.048,1.0,100,1e-07,2,4433.0,6181.0,622.7,0.3979096412658691
4,4,4119924736,64,0.2,0.2,0.02,0.04,1.0,150,1e-07,2,4433.0,5838.0,544.9,2.192102193832397
4,4,4119924736,64,0.1,0.1,0.02,0.04,2.0,150,1e-07,2,4433.0,4378.0,443.3,2.141686201095581
4,4,4119924736,64,0.2,0.2,0.01,0.048,2.0,100,1e-07,2,4433.0,5531.0,147.8,2.2460310459136963
4,4,4119924736,16,0.2,0.2,0.01,0.048,2.0,150,1e-07,2,4433.0,6181.0,544.9,0.326596736907959
4,4,4119924736,16,0.2,0.2,0.02,0.04,2.0,150,1e-07,2,4433.0,6181.0,554.1,0.399738073348999
4,4,4119924736,16,0.2,0.2,0.02,0.04,1.0,150,1e-07,2,4433.0,5838.0,544.9,0.3802547454833984
4,4,4119924736,64,0.2,0.1,0.01,0.04,1.0,150,1e-07,2,4433.0,8083.0,554.1,1.89554500579834
4,4,4119924736,16,0.1,0.2,0.01,0.04,1.0,100,1e-07,2,4433.0,5254.0,155.7,0.3885273933410644
4,4,4119924736,64,0.2,0.1,0.02,0.04,1.0,150,1e-07,2,4433.0,6568.0,177.3,2.551501035690308
4,4,4119924736,16,0.2,0.1,0.02,0.04,2.0,100,1e-07,2,4433.0,5842.0,633.3,0.3802368640899658
4,4,4119924736,16,0.1,0.1,0.01,0.048,2.0,100,1e-07,2,4433.0,5254.0,492.6,0.3925049304962158
4,4,4119924736,64,0.1,0.2,0.02,0.048,1.0,150,1e-07,2,4433.0,7506.0,633.3,2.093903064727783
4,4,4119924736,16,0.1,0.2,0.01,0.048,2.0,150,1e-07,2,4433.0,6181.0,396.3,0.3853693008422851
4,4,4119924736,16,0.2,0.1,0.02,0.048,2.0,100,1e-07,2,4433.0,6181.0,233.3,0.3843171596527099
4,4,4119924736,64,0.2,0.2,0.02,0.04,2.0,150,1e-07,2,4433.0,5838.0,435.9,2.948228120803833
4,4,4119924736,64,0.1,0.2,0.01,0.04,1.0,150,1e-07,2,4433.0,5531.0,192.7,2.6475791931152344
4,4,4119924736,64,0.1,0.2,0.01,0.04,2.0,150,1e-07,2,4433.0,5842.0,184.7,2.349888324737549
4,4,4119924736,16,0.2,0.1,0.02,0.048,2.0,150,1e-07,2,4433.0,5254.0,484.3,0.4032769203186035
4,4,4119924736,64,0.1,0.1,0.02,0.048,2.0,100,1e-07,2,4433.0,5838.0,155.7,1.868501901626587
4,4,4119924736,16,0.1,0.2,0.01,0.048,2.0,100,1e-07,2,4433.0,5842.0,554.1,0.3446919918060303
